experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_financial_5000_differential_privacy_1752761739,2025-07-17T15:15:39.970314,batch,financial,5000,differential_privacy,"{""epsilon"": 1.0}",2.6293368339538574,0,0,2.6293368339538574,5000,1901.6201862890518,4415,0.883,104.859375,7.6,0.021615028381347656,0.01777935028076172,0.0,1.0,0.5,0.5258673667907715,0.5258673667907715,0.5258673667907715,0,0.5258673667907715,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_differential_privacy_1752761745,2025-07-17T15:15:45.273560,batch,financial,5000,differential_privacy,"{""epsilon"": 2.0}",2.381929874420166,0,0,2.381929874420166,5000,2099.1382045691635,4415,0.883,104.6875,6.6,0.018137693405151367,0.011406898498535156,0.0,1.0,0.5,0.4763859748840332,0.4763859748840332,0.4763859748840332,0,0.4763859748840332,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_tokenization_1752761750,2025-07-17T15:15:50.717214,batch,financial,5000,tokenization,"{""key_length"": 128}",2.4861860275268555,0,0,2.4861860275268555,5000,2011.112581536697,4415,0.883,104.40625,5.0,0.026187896728515625,0.012940168380737305,0.5,0.5,0.5,0.4972372055053711,0.4972372055053711,0.4972372055053711,0,0.4972372055053711,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_5000_tokenization_1752761756,2025-07-17T15:15:56.101829,batch,financial,5000,tokenization,"{""key_length"": 256}",2.441206216812134,0,0,2.441206216812134,5000,2048.1678137495837,4415,0.883,104.46875,42.3,0.03284406661987305,0.013952016830444336,0.5,0.5,0.5,0.48824124336242675,0.48824124336242675,0.48824124336242675,0,0.48824124336242675,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_5000_tokenization_1752761761,2025-07-17T15:16:01.586911,batch,financial,5000,tokenization,"{""key_length"": 512}",2.4216272830963135,0,0,2.4216272830963135,5000,2064.7273157605646,4415,0.883,105.140625,12.6,0.03390073776245117,0.014815807342529297,0.5,0.5,0.5,0.4843254566192627,0.4843254566192627,0.4843254566192627,0,0.4843254566192627,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_10000_k_anonymity_1752761767,2025-07-17T15:16:07.184810,batch,healthcare,10000,k_anonymity,"{""k_value"": 3}",2.660109043121338,0,0,2.660109043121338,10000,3759.2443910743327,10000,1.0,123.78125,18.1,0.021844863891601562,0.05621933937072754,0.15,0.85,0.5,0.2660109043121338,0.2660109043121338,0.2660109043121338,0,0.2660109043121338,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_k_anonymity_1752761772,2025-07-17T15:16:12.834288,batch,healthcare,10000,k_anonymity,"{""k_value"": 5}",2.675576686859131,0,0,2.675576686859131,10000,3737.51200969651,10000,1.0,124.03125,4.0,0.019775390625,0.054886579513549805,0.25,0.75,0.5,0.2675576686859131,0.2675576686859131,0.2675576686859131,0,0.2675576686859131,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_k_anonymity_1752761778,2025-07-17T15:16:18.404020,batch,healthcare,10000,k_anonymity,"{""k_value"": 10}",2.622380018234253,0,0,2.622380018234253,10000,3813.329849398935,10000,1.0,124.359375,7.1,0.021757125854492188,0.06506919860839844,0.5,0.5,0.5,0.26223800182342527,0.26223800182342527,0.26223800182342527,0,0.26223800182342527,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_k_anonymity_1752761783,2025-07-17T15:16:23.990916,batch,healthcare,10000,k_anonymity,"{""k_value"": 15}",2.613292932510376,0,0,2.613292932510376,10000,3826.589769404007,10000,1.0,122.90625,5.8,0.023851633071899414,0.06508684158325195,0.75,0.25,0.5,0.2613292932510376,0.2613292932510376,0.2613292932510376,0,0.2613292932510376,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_differential_privacy_1752761789,2025-07-17T15:16:29.536782,batch,healthcare,10000,differential_privacy,"{""epsilon"": 0.1}",2.608107805252075,0,0,2.608107805252075,10000,3834.197336422408,10000,1.0,125.859375,5.8,0.08430624008178711,0.059946537017822266,0.9,0.09999999999999998,0.5,0.2608107805252075,0.2608107805252075,0.2608107805252075,0,0.2608107805252075,True,,TRUE COLD START: Batch processing with differential_privacy
